phrase,phrase_puj,phrase_simple_puj,freq,mandarin,english,source,tag
下品,kẽ-pín,ke6-pin2,k10,下品,inferior,汕頭話讀本,
下日,ẽ-ji̍t,e6-jit8,k00,他日,future,汕頭話讀本,時日
下旰,ẽ-kuà,e6-kua3,k00,下午,afternoon,汕頭話讀本,時日
下旰,ẽ-kuà,e6-kua3,k10,下午,,汕頭話讀本,
下次,ẽ-tsuā,e6-tsua7,k00,下次,,汕頭話讀本,時日
下水,ẽ-tsúi,e6-tsui2,k10,下水,wade,汕頭話讀本,
下貨,hẽ-hùe,he6-hue3,k10,下貨,to ship cargo,汕頭話讀本,
下頦,ẽ-hâi,e6-hai5,k00,下巴,chin,汕頭話讀本,人|身體
不孝,put-hàu,put4-hau3,k10,不孝,undutiful,汕頭話讀本,
不止,put-chí,put4-chi2,k10,不止,merely not,汕頭話讀本,
不能,put-lêng,put4-leng5,k10,不能,cannot|impossible,汕頭話讀本,
不論,put-lũn,put4-lun6,k10,不論,whatever,汕頭話讀本,
不過,put-kùe,put4-kue3,k10,不過,merely,汕頭話讀本,
世情,sì-chhêng,si3-chheng5,k00,通情達理,,考釋,人
世間,sì-kan,si3-kan1,k00,世界,world|the world,汕頭話讀本,天地
中今,tong-kim,tong1-kim1,k10,現在,present time,汕頭話讀本,
中保,tong-pó,tong1-po2,k10,中介,mediator,汕頭話讀本,
中午,tong-ngóu,tong1-ngou2,k10,中午,midday,汕頭話讀本,
中國,tong-kok,tong1-kok4,k10,中國,china,汕頭話讀本,
中心,tong-sim,tong1-sim1,k10,中心,target centre of,汕頭話讀本,
中舉人,tèng-kṳ-jîn,teng3-kur1-jin5,k10,中舉人,degree to get the 2nd literary,汕頭話讀本,
中辦,tong-pān,tong1-pan7,k10,中辦,middling,汕頭話讀本,
主意,tsú-ì,tsu2-i3,k10,主意,decide,汕頭話讀本,
久久,kú-kú,ku2-ku2,k10,久久,perpetually,汕頭話讀本,
乏,he̍k,hek8,k00,疲勞,tired,考釋,健康
乘,sêng,seng5,k00,乘,,汕頭話讀本,職業|經商
乜个,mih-kâi,mih4-kai5,k00,什麼,,,入門
乜儂,mih-nâng,mih4-nang5,k00,誰,,,入門
乞,khṳh,khurh4,k00,給,,考釋,入門
乞食,khṳt-chia̍h,khurt4-chiah8,k00,乞丐,beggar,汕頭話讀本,職業
乳母,zú-bó,zu2-bo2,k10,乳母,nurse,汕頭話讀本,
亂呾,thèng-tàⁿ,theng3-tann3,k10,亂說,nonsense to talk,汕頭話讀本,
事㩼,sṳ̄-tsōi,sur7-tsoi7,k10,事多,busy,汕頭話讀本,
事務,sṳ̄-bũ,sur7-bu6,k10,事務,affair|business,汕頭話讀本,
事業,sṳ̄-ngia̍p,sur7-ngiap8,k10,事業,occupation,汕頭話讀本,
事理,sṳ̃-lí,sur6-li2,k10,料理,arrange,汕頭話讀本,
二伙,jĩ-húe,ji6-hue2,k20,二副,second mate,汕頭話讀本,職業|行船
二儂,jĩ-nâng,ji6-nang5,k10,二奶,concubine,汕頭話讀本,
二家,jĩ-ke,ji6-ke1,k10,兩人,both,汕頭話讀本,
二手,jĩ-chhiú,ji6-chhiu2,k20,助理,assistant,汕頭話讀本,職業|經商
二斤半,nõ-kṳn-puàⁿ,no6-kurn1-puann3,k10,二斤半,two catties and a half,汕頭話讀本,
二更,jĩ-keⁿ,ji6-kenn1,k10,二更,second watch from 9 to 11 p.m,汕頭話讀本,
二月,jĩ--gu̍eh,ji6--gueh8,k10,二月,second moon,汕頭話讀本,
五更,ngõu-keⁿ,ngou6-kenn1,k10,五更,fifth watch from 3 to 5 a.m,汕頭話讀本,
五穀,ngõu-kak,ngou6-kak4,k10,五穀,corn|grain,汕頭話讀本,
五箍,ngõu-khou,ngou6-khou1,k10,五元,,汕頭話讀本,計數
五經,ngóu-kiaⁿ,ngou2-kiann1,k10,五經,classics,汕頭話讀本,
些須囝,se-su-kiáⁿ,se1-su1-kiann2,k10,一點兒,little,汕頭話讀本,
亞是,a-sĩ,a1-si6,k00,或者是,or,汕頭話讀本,入門
亞無,a-bô,a1-bo5,k10,或者沒有,or not?(interrogative signs),汕頭話讀本,
交戰,kau-chièn,kau1-chien3,k10,交戰,war,汕頭話讀本,
交掛,kau-kuà,kau1-kua3,k00,交易,transaction,汕頭話讀本,職業|經商
交插,kau-tshap,kau1-tshap4,k00,交往,associate|company to keep,汕頭話讀本,人|行動
交椅,kau-íⁿ,kau1-inn2,k00,靠背椅,a chair,汕頭話讀本,起居|物件
交落,ka-la̍uh,ka1-lauh8,k00,掉落,fall down,汕頭話讀本,
交關,kau-kuan,kau1-kuan1,k10,買,purchase,汕頭話讀本,
交關个儂,kau-kuan--kâi-nâng,kau1-kuan1--kai5-nang5,k10,顧客,,汕頭話讀本,
亦,iā,ia7,k00,也,also,汕頭話讀本,入門
京城,kiaⁿ-siâⁿ,kiann1-siann5,k10,京城,capital city,汕頭話讀本,
人參,jîn-siam,jin5-siam1,k10,人參,ginseng,汕頭話讀本,
人客,nâng-kheh,nang5-kheh4,k00,客人,,考釋,
什物,tsa̍p-mu̍eh,tsap8-mueh8,k10,什物,sundries,汕頭話讀本,
什貨,tsa̍p-hùe,tsap8-hue3,k10,什貨,sundries,汕頭話讀本,
仁慈,jîn-tshṳ̂,jin5-tshur5,k10,仁慈,benevolence,汕頭話讀本,
仇儂,chhiû-nâng,chhiu5-nang5,k10,仇人,enemy,汕頭話讀本,
今,taⁿ,tann1,k00,現在,,汕頭話讀本,時日
今旦日,kiáⁿ-ji̍t,kiann2-jit8,k00,今天,today,汕頭話讀本,時日
今暝,ke-mê,ke1-me5,k00,今夜,,汕頭話讀本,時日
仔細,tsṳ́-sòi,tsur2-soi3,k10,仔細,careful,汕頭話讀本,
付托,hù-thoh,hu3-thoh4,k00,委託,entrust,汕頭話讀本,人|行動
仙瑚,sien-hû,sien1-hu5,k00,珊瑚,coral,汕頭話讀本,職業|經商
任意,jĩm-ì,jim6-i3,k10,任意,obstinate,汕頭話讀本,
仿似,huáng-sṳ̃,huang2-sur6,k10,仿似,resemble|similar,汕頭話讀本,
伊,i,i1,k00,他,"he, she, it, him, her",汕頭話讀本,入門
伊儂,i-nâng,i1-nang5,k00,他們,,,入門
伍星,ngóu-chheⁿ,ngou2-chhenn1,k10,行星,planet,汕頭話讀本,天地
伍牲,ngóu-seⁿ,ngou2-senn1,k10,伍牲,the five kinds of offerings,汕頭話讀本,
伙長,húe-tiéⁿ,hue2-tienn2,k20,船長,captain,汕頭話讀本,職業|行船
伙頭,húe-thâu,hue2-thau5,k10,廚師,,汕頭話讀本,職業
伙食房,húe-si̍t-pâng,hue2-sit8-pang5,k20,廚房,kitchen,汕頭話讀本,起居|場所
估值,kóu-ta̍t,kou2-tat8,k10,估值,estimate,汕頭話讀本,
估價,kóu-kè,kou2-ke3,k10,估價,estimate,汕頭話讀本,
伶俐,lêng-lāi,leng5-lai7,k10,伶俐,sharp clever,汕頭話讀本,
佔過,chiàm-kùe,chiam3-kue3,k10,侵佔,encroach,汕頭話讀本,
佚佗,thit-thô,thit4-tho5,k10,遊玩,amusement|play,汕頭話讀本,
佚佗物,thit-thô-mu̍eh,thit4-tho5-mueh8,k10,玩物,fancy articles,汕頭話讀本,
佛家,hu̍t-kà,hut8-ka3,k10,佛家,buddhism,汕頭話讀本,
佛祖,hu̍t-tsóu,hut8-tsou2,k10,佛祖,buddha,汕頭話讀本,
作工,tsoh-kang,tsoh4-kang1,k00,工作,work,汕頭話讀本,職業
作工課,tsoh-khang-khùe,tsoh4-khang1-khue3,k10,工作,work to,汕頭話讀本,
作灰工,tsoh-hue-kang,tsoh4-hue1-kang1,k10,做灰工,mason,汕頭話讀本,
作田儂,tsoh-tshân-nâng,tsoh4-tshan5-nang5,k10,農民,peasant,汕頭話讀本,
佝腰,ku-ie,ku1-ie1,k00,佝僂,,考釋,健康
佮,kah,kah4,k00,和,and,汕頭話讀本,入門
使,sái,sai2,k00,花費,expend|send|spend|to sail,汕頭話讀本,入門
使(錢),sái,sai2,k00,花(錢),,汕頭話讀本,職業|經商
使油,sái-iû,sai2-iu5,k10,上漆,paint,汕頭話讀本,
使牛,sái-gû,sai2-gu5,k10,趕牛,drive a bullock,汕頭話讀本,
使用,sái-ēng,sai2-eng7,k10,行賄,bribe,汕頭話讀本,
使錢,sái-chîⁿ,sai2-chinn5,k00,花錢,,考釋,起居
來往,lâi-uáng,lai5-uang2,k20,分類賬,intercourse|a ledger,汕頭話讀本,職業|經商
來銀,lâi-ngṳ̂n,lai5-ngurn5,k10,收款,received to account,汕頭話讀本,職業|經商
依原,i-nguân,i1-nguan5,k10,依舊,before as,汕頭話讀本,入門
侯栗,kãu-la̍k,kau6-lak8,k00,板栗,chestnuts|chestnut,汕頭話讀本,
侯蠅屎痣,hôu-sîn-sái-kì,hou5-sin5-sai2-ki3,k10,蒼蠅屎痣,,汕頭話讀本,
便,phiⁿ,phinn1,k00,便宜,cheap,汕頭話讀本,入門
便宜,pân-gî,pan5-gi5,k10,便宜,cheap,汕頭話讀本,
俗語,so̍k-gṳ́,sok8-gur2,k10,俗語,byword|proverb,汕頭話讀本,
保佑,pó-iũ,po2-iu6,k10,保佑,protect,汕頭話讀本,
保家,pó-ke,po2-ke1,k20,保險,insure,汕頭話讀本,職業|經商
保家字,pó-ke-jī,po2-ke1-ji7,k20,保險單,insurance policy,汕頭話讀本,職業|經商
保家館,pó-ke-kuán,po2-ke1-kuan2,k20,保險公司,insurance office,汕頭話讀本,職業|經商
保護,pó-hō,po2-ho7,k10,保佑,protect,汕頭話讀本,
保領,pó-niáⁿ,po2-niann2,k10,保證,surety|security,汕頭話讀本,職業|經商
信皮,sìn-phûe,sin3-phue5,k10,信封,envelope|envelopes,汕頭話讀本,教育
信關,sìn-kuan,sin3-kuan1,k20,郵局,a postoffice,汕頭話讀本,起居|場所
修心,siu-sim,siu1-sim1,k10,仁慈,charitable,汕頭話讀本,
修拾,siu-si̍p,siu1-sip8,k10,修拾,put in order,汕頭話讀本,
俸祿,hóng-lo̍k,hong2-lok8,k10,俸祿,salary official,汕頭話讀本,
俺,nán,nan2,k00,我們(包含聽者),we (including the person addressed.),汕頭話讀本,入門
倒反,tò-póiⁿ,to3-poinn2,k10,反過來,upset,汕頭話讀本,
倒手,tò-chhiú,to3-chhiu2,k10,左手,hand left,汕頭話讀本,
倒掉,tò-tiàu,to3-tiau3,k10,倒掉,spill,汕頭話讀本,
倒桌櫃,táu-toh-kūiⁿ,tau2-toh4-kuinn7,k10,找換店,money changer,汕頭話讀本,
倒油,tò-iû,to3-iu5,k10,倒油,buy as oil,汕頭話讀本,
倒誻,tò-ta̍h,to3-tah8,k00,囉嗦,,考釋,人|品評
倒賬,tó-tièⁿ,to2-tienn3,k00,倒閉,bankrupt,汕頭話讀本,職業|經商
倒酒,tò-chiú,to3-chiu2,k10,倒酒,buy as oil,汕頭話讀本,
倒錢,táu-chîⁿ,tau2-chinn5,k00,找錢,,汕頭話讀本,職業|經商
倒錢行,táu-chiⁿ-hâng,tau2-chinn5-hang5,k20,找換店,money changer,汕頭話讀本,職業|經商
倚船邊,uá-tsûn-piⁿ,ua2-tsun5-pinn1,k10,靠船邊,go alongside the ship,汕頭話讀本,
借問,chieh-mn̄g,chieh4-mng7,k10,諮詢,enquire,汕頭話讀本,
值錢,ta̍t-chîⁿ,tat8-chinn5,k10,值錢,costly|expensive|valuable,汕頭話讀本,
假印,ké-ìn,ke2-in3,k10,假印,forgery of seal,汕頭話讀本,
假手筆,ké-chhiú-pit,ke2-chhiu2-pit4,k10,偽造簽名,forgery,汕頭話讀本,
假毋知,tèⁿ-m̃-tsai,tenn3-m6-tsai1,k10,假裝不知道,pretend not knowing,汕頭話讀本,
偏枯,phien-kou,phien1-kou1,k00,半身不遂,,考釋,健康
做七,tsò-chhit,tso3-chhit4,k00,燒七,,考釋,活動|喪事
做上盤,tsò-chiẽⁿ-puâⁿ,tso3-chienn6-puann5,k20,批發交易,wholesale trade,汕頭話讀本,職業|經商
做公親,tsò-kong-chhin,tso3-kong1-chhin1,k10,公斷,arbitrate,汕頭話讀本,
做包,tsò-pû,tso3-pu5,k10,一起,beside,汕頭話讀本,
做合同,tsò-ha̍p-tâng,tso3-hap8-tang5,k10,做合同,agreement,汕頭話讀本,
做工,tsò-kang,tso3-kang1,k10,做工,work to,汕頭話讀本,
做成,tsò-chiâⁿ,tso3-chiann5,k10,做成,accomplish,汕頭話讀本,
做書,tsò-tsṳ,tso3-tsur1,k10,著書,author,汕頭話讀本,
做桌,tsò-toh,tso3-toh4,k10,做桌,feast,汕頭話讀本,
做生日,tsò-seⁿ-ji̍t,tso3-senn1-jit8,k00,過生日,,考釋,活動
做節,tsò-tsoih,tso3-tsoih4,k00,過節,festival day,考釋,活動
做線,tsò-suàⁿ,tso3-suann3,k10,監視,spy to,汕頭話讀本,
做衫褲,tsò-saⁿ-khòu,tso3-sann1-khou3,k10,做衣服,to make clothes,汕頭話讀本,
做親,tsò-chhin,tso3-chhin1,k10,結親,betroth,汕頭話讀本,
做賊,tsò-tsha̍t,tso3-tshat8,k10,做賊,theft,汕頭話讀本,
做頭,tsò-thâu,tso3-thau5,k10,做老大,ringleader,汕頭話讀本,
做飽戲,tsò-pá-hì,tso3-pa2-hi3,k10,做把戲,juggler,汕頭話讀本,
做骹手,tsò-kha-chhiú,tso3-kha1-chhiu2,k00,動手腳,,考釋,人|行動
健,kiāⁿ,kiann7,k00,健壯,strong,考釋,人|品評
偪側,pek-chhek,pek4-chhek4,k00,易怒,,考釋,人|情緒
偶然,ngóu-jiên,ngou2-jien5,k10,偶然,accident,汕頭話讀本,
偷使錢,thau-sái-chîⁿ,thau1-sai2-chinn5,k10,偷花錢,embezzle,汕頭話讀本,
偷挈,thau-khie̍h,thau1-khieh8,k10,偷拿,steal,汕頭話讀本,
偷探,thau-thàm,thau1-tham3,k10,監視,spy to,汕頭話讀本,
偷睇,thau-thóiⁿ,thau1-thoinn2,k10,偷看,peep,汕頭話讀本,
偷睒,thau-iám,thau1-iam2,k10,偷看,peep,汕頭話讀本,
催拚,tshui-piàⁿ,tshui1-piann3,k10,催促,urge,汕頭話讀本,
催緊,tshui-kín,tshui1-kin2,k10,催促,urge,汕頭話讀本,
催迫,tshui-pek,tshui1-pek4,k00,催討,dun,汕頭話讀本,職業|經商
傳道理,thuân-tõ-lí,thuan5-to6-li2,k10,傳教,preach the gospel|preach,汕頭話讀本,
傳道理个儂,thuân-tõ-lí--kâi-nâng,thuan5-to6-li2--kai5-nang5,k10,傳教士,,汕頭話讀本,
債主,chè-tsú,che3-tsu2,k00,債權人,creditor,汕頭話讀本,職業|經商
傷儂,sieⁿ-nâng,sienn1-nang5,k10,傷人,causing hurt,汕頭話讀本,
傷口,sieⁿ-kháu,sienn1-khau2,k10,傷口,wound,汕頭話讀本,
傷痕,sieⁿ-hûn,sienn1-hun5,k00,傷疤,scar|a scar,汕頭話讀本,健康
傷着,sieⁿ--tie̍h,sienn1--tieh8,k10,傷着,bruise|hurt|injure|wounded,汕頭話讀本,
傷風,sieⁿ-huang,sienn1-huang1,k00,感冒,"to catch cold when ill, or just after being ill",汕頭話讀本,健康
僥心,hiau-sim,hiau1-sim1,k10,壞心腸,cruel|badhearted,汕頭話讀本,
價錢,kè-chîⁿ,ke3-chinn5,k00,價格,cost|price,汕頭話讀本,職業|經商
儂事,nâng-sṳ̄,nang5-sur7,k00,人情世故,,考釋,人
儂公囝,nâng-kong-kiáⁿ,nang5-kong1-kiann2,k00,玩偶,,,起居|物件
儂囝,nâng-kiáⁿ,nang5-kiann2,k00,圖畫,,,教育
儂客,nâng-kheh,nang5-kheh4,k00,客人,guest,汕頭話讀本,人|稱呼
儂情,nâng-chhêng,nang5-chheng5,k00,面子,favour|kindness,考釋,人
儂情,nâng-chhiâⁿ,nang5-chhiann5,k00,恩情,,考釋,人
元帥,nguân-sùe,nguan5-sue3,k10,元帥,commanderinchief,汕頭話讀本,
兄弟,hiaⁿ-tĩ,hiann1-ti6,k10,兄弟,brethren|brothers,汕頭話讀本,
兄弟囝,hiaⁿ-tĩ-kiáⁿ,hiann1-ti6-kiann2,k10,兄弟,brothers,汕頭話讀本,
充公,tshong-kong,tshong1-kong1,k10,充公,confiscate,汕頭話讀本,
充軍,tshong-kun,tshong1-kun1,k10,充軍,banish,汕頭話讀本,
先生,sin-seⁿ,sin1-senn1,k00,醫生,master of a school|physician|teacher|a doctor,汕頭話讀本,健康
先祖,soiⁿ-tsóu,soinn1-tsou2,k10,先祖,ancestors,汕頭話讀本,
光,kng,kng1,k00,亮,bright,汕頭話讀本,入門
光通,kng-thàng,kng1-thang3,k10,透明,transparent,汕頭話讀本,入門
免,mín,min2,k00,不用,unnecessary,汕頭話讀本,入門
免用,mín-ēng,min2-eng7,k10,不用,unnecessary,汕頭話讀本,
兒婿,jî-sài,ji5-sai3,k10,兒婿,husband,汕頭話讀本,
兜囝,tau-kiáⁿ,tau1-kiann2,k10,兒子,son,汕頭話讀本,
兜孫,tau-sun,tau1-sun1,k10,孫子,brother's son,汕頭話讀本,
入來,ji̍p--lâi,jip8--lai5,k10,進來,come in,汕頭話讀本,
入口貨,ji̍p-kháu-hùe,jip8-khau2-hue3,k00,進口商品,imports,汕頭話讀本,職業|經商
入呈,ji̍p-tiâⁿ,jip8-tiann5,k10,入呈,petition,汕頭話讀本,
入奉教,tshap-hông-kà,tshap4-hong5-ka3,k10,入奉教,to be christians,汕頭話讀本,
入教,ji̍p-kà,jip8-ka3,k10,入教,to be christians,汕頭話讀本,
入會,ji̍p-hũe,jip8-hue6,k10,入會,society to join,汕頭話讀本,
入禀,ji̍p-pín,jip8-pin2,k10,入禀,petition,汕頭話讀本,
入秀才,ji̍p-siù-tsâi,jip8-siu3-tsai5,k10,入秀才,degree,汕頭話讀本,
內,lãi,lai6,k00,家,home|interior,考釋,起居|場所
內地,lãi-ti,lai6-ti1,k10,內地,inland,汕頭話讀本,
內孫,lãi-sun,lai6-sun1,k10,內孫,son's son,汕頭話讀本,
內爿,lãi-pôiⁿ,lai6-poinn5,k10,裏面,interior,汕頭話讀本,
內走孫,lãi-tsáu-sun,lai6-tsau2-sun1,k10,內孫女,son's daughter,汕頭話讀本,
全愈,tshuân-zú,tshuan5-zu2,k10,全愈,quite recovered,汕頭話讀本,
全權,tshuân-khuân,tshuan5-khuan5,k10,全權,plenipotentiary,汕頭話讀本,
兩个,nõ-kâi,no6-kai5,k10,兩個,both things,汕頭話讀本,
兩箍半,nõ-khou-puàⁿ,no6-khou1-puann3,k10,兩箍半,two dollars and a half,汕頭話讀本,
公主,kong-tsú,kong1-tsu2,k10,公主,princess,汕頭話讀本,
公事,kong-sṳ̄,kong1-sur7,k10,公事,business official,汕頭話讀本,
公司,kong-si,kong1-si1,k10,公司,company,汕頭話讀本,
公司山,kong-si-suaⁿ,kong1-si1-suann1,k10,公墓,cemetery,汕頭話讀本,
公堂,kong-tn̂g,kong1-tng5,k10,公堂,court,汕頭話讀本,
公眾,kong-chèng,kong1-cheng3,k10,公眾,public,汕頭話讀本,
公親,kong-chhin,kong1-chhin1,k00,公斷人,arbitrator,汕頭話讀本,職業|經商
公道,kong-tãu,kong1-tau6,k10,公道,just,汕頭話讀本,
六斤四,la̍k-kṳn-si,lak8-kurn1-si1,k10,六斤四,six catties and four taels,汕頭話讀本,
六部,la̍k-põu,lak8-pou6,k10,六部,board the six,汕頭話讀本,
共,kāng,kang7,k00,和,and,汕頭話讀本,入門
其實,khí-si̍t,khi2-sit8,k10,其實,fact,汕頭話讀本,
其餘,khî-ṳ̂,khi5-ur5,k10,其餘,rest the,汕頭話讀本,
典,tóiⁿ,toinn2,k10,抵押,mortgage,汕頭話讀本,職業|經商
典主,tóiⁿ-tsú,toinn2-tsu2,k20,抵押人,mortgagor,汕頭話讀本,職業|經商
典契,tóiⁿ-khòi,toinn2-khoi3,k20,抵押契據,mortgage deed,汕頭話讀本,職業|經商
冇,phàⁿ,phann3,k00,軟,"porous, soft",汕頭話讀本,入門
冇柴,phàⁿ-tshâ,phann3-tsha5,k10,輕木,"wood, light",汕頭話讀本,
冊架,chheh-kè,chheh4-ke3,k10,書架,a bookstand,汕頭話讀本,教育
冊櫥,chheh-tû,chheh4-tu5,k10,書櫥,bookcase|a bookcase,汕頭話讀本,教育
冊皮,chheh-phûe,chheh4-phue5,k10,書籍封面,book cover,汕頭話讀本,教育
冊魚,chheh-hṳ̂,chheh4-hur5,k20,書蟲,worm in books,汕頭話讀本,動物|蟲
冤仇,uan-chhiû,uan1-chhiu5,k10,冤仇,enemy,汕頭話讀本,
冤家,uan-ke,uan1-ke1,k00,吵鬧,row,汕頭話讀本,人|行動
冤屈,uang-khuk,uang1-khuk4,k00,冤枉,,考釋,法律
冬瓜,tang-kue,tang1-kue1,k10,冬瓜,melon,汕頭話讀本,
冬瓜露,tang-kue-lōu,tang1-kue1-lou7,k10,冬瓜露,molasses of melon,汕頭話讀本,
冬至,tang-chì,tang1-chi3,k10,冬至,solstice winter,汕頭話讀本,
冰糖,piaⁿ-thn̂g,piann1-thng5,k10,冰糖,sugarcandy,汕頭話讀本,
冰霜,piaⁿ-sng,piann1-sng1,k10,冰霜,ice,汕頭話讀本,
凄凉,chhi-liâng,chhi1-liang5,k10,凄凉,miserable,汕頭話讀本,
凊,chhìn,chhin3,k00,冷,cold,汕頭話讀本,入門
凊彩,chhìn-tshái,chhin3-tshai2,k00,隨便,careless,汕頭話讀本,入門
凜凜,lím-lím,lim2-lim2,k10,凜凜,almost,汕頭話讀本,
凝,ngân,ngan5,k00,冷,cold,汕頭話讀本,入門
凝凍,kṳ̂n-tàng,kurn5-tang3,k10,凝結,congeal,汕頭話讀本,
凸疕,phok-phí,phok4-phi2,k10,結痂,scab to become covered with,汕頭話讀本,
出世,tshut-sì,tshut4-si3,k10,出世,born,汕頭話讀本,
出力,tshut-la̍t,tshut4-lat8,k10,出力,exert strength,汕頭話讀本,
出去,tshut--khṳ̀,tshut4--khur3,k10,出去,go out,汕頭話讀本,
出口貨,tshut-kháu-hùe,tshut4-khau2-hue3,k00,出口商品,exports,汕頭話讀本,職業|經商
出名,tshut-miâⁿ,tshut4-miann5,k10,出名,celebrated|famous,汕頭話讀本,
出外儂,tshut-guā-nâng,tshut4-gua7-nang5,k00,陌生人,stranger,汕頭話讀本,人|稱呼
