teochew_puj_flat,teochew_puj,teochew,mandarin,en
bi2 nienn5,bí-niêⁿ,米糧,米糧,
bi2 thai,bí-thai,米篩,米篩,
bi7 sou7,bī-sōu,味素,味道,
bo2 ku6,bó-kũ,母舅,母舅,
bo3 nainn6 ho5,bò-nãiⁿ-hô,無奈何,無可奈何,
bo5 bou2,bô-bóu,無𡚸,沒有老婆,
bo5 chheng5 li2,bô-chhêng-lí,無情理,不通情理,
bo5 chhiang5 si5,bô-chhiâng-sî,無常時,,
bo5 han5,bô-hân,無限,無限,
bo5 heng6,bô-hẽng,無行,缺德,
bo5 ho2 hiam5,bô-hó-hiâm,無好嫌,不能嫌棄,
bo5 hue kue2,bô-hue-kúe,無花果,無花果,
bo5 iann2,bô-iáⁿ,無影,虛假,
bo5 iann2 bo5 chiah,bô-iáⁿ-bô-chiah,無影無跡,毫無根據,
bo5 jin5 ngi6,bô-jîn-ngĩ,無仁義,不仁不義,
bo5 kan siap8,bô-kan-sia̍p,無干涉,無關,
bo5 ke2 kai5,bô-ké--kâi,無假嘅,沒有假的,
bo5 khur3,bô--khṳ̀,無去,沒了,
bo5 kiu3 lo7,bô-kiù--lō,無救了,沒救了,
bo5 kui kur2,bô-kui-kṳ́,無規矩,沒規矩,
bo5 lat8,bô-la̍t,無力,沒有力氣,
bo5 monn7,bô-mōⁿ,無望,無望,
bo5 nang5 chheng2,bô-nâng-chhéng,無儂情,沒有人情,
bo5 nang5 chheng2,bô-nâng-chhéng,無人情,沒有人情,
bo5 pan bo2,bô-pan-bó,無班母,無節制,
bo5 pe6 bo3 bo2,bô-pẽ-bò-bó,無父無母,無父無母,
bo5 pien,bô-pien,無邊,,
bo5 pun2 niann2,bô-pún-niáⁿ,無本領,沒本領,
bo5 pun2 sur7,bô-pún-sṳ̄,無本事,無本事,
bo5 seng li2,bô-seng-lí,無生理,沒有生意,
bo5 siang kan,bô-siang-kan,無相干,,
bo5 siang kau sur7,bô-siang-kau-sṳ̄,無相干事,不相干的事,
bo5 sim,bô-sim,無心,無心,
bo5 tann2,bô-táⁿ,無胆,沒有胆量,
bo5 teng3 eng7,bô-tèng-ēng,無中用,不中用,
bo5 thua khiam3,bô-thua-khiàm,無拖欠,不拖欠,
bo5 tiann7 tieh8,bô tiāⁿ-tie̍h,無定着,不確定,
bo5 tshai3 chheng5,bô-tshài-chhêng,無才情,沒本事,
bo5 tsho3,bô-tshò,無錯,沒錯,
bo5 tsue6,bô-tsũe,無罪,無罪,
bo5 tsur2 soi3,bô-tsṳ́-sòi,無仔細,不小心,
bo5 ui7 tshur3,bô-ūi-tshṳ̀,無位次,沒地方,
bo7 chieh2,bō-chiéh,磨石,磨石,
bo7 kiann2,bō-kiáⁿ,帽囝,帽子,
bo7 tiou3,bō-tiòu,帽吊,帽吊,
bo7 tsu,bō-tsu,帽珠,帽珠,
boi2 bo5,bói-bô,買無,買不到,
boi2 boi7,bói-bōi,買賣,買賣,
boi2 chienn7 puann5,bói-chiēⁿ-puâⁿ,買上盤,批發購進,
boi2 kheh,bói-kheh,買客,顧客,
boi2 phue3,bói-phùe,買配,買菜,
boi6 bo5 pan bo2,bõi-bô-pan-bó,袂無班母,不會無節制,
boi6 bo5 pan bo2,bõi-bô-pan-bó,𠀾無班母,不會無節制,
boi6 chiah8,bõi-chia̍h,袂食,不會吃,
boi6 chiah8,bõi-chia̍h,𠀾食,不會吃,
boi6 chiam,bõi-chiam,毋尖,不尖,
boi6 chiam,bõi-chiam,唔尖,不尖,
boi6 kue3 hun7,bõi-kùe-hūn,袂過分,不會過分,
boi6 kue3 hun7,bõi-kùe-hūn,𠀾過分,不會過分,
boi6 mo2,bõi-mó,袂孬,不錯,
boi6 mo2,bõi-mó,𠀾孬,不錯,
boi6 mo2,bõi-mó,𠁞孬,不錯,
boi6 sai2,bõi-sái,袂使,不使,
boi6 sai2,bõi-sái,𠀾使,不使,
boi6 siou,bõi-siou,袂消,不消,
boi6 siou,bõi-siou,𠀾消,不消,
boi6 tit,bõi-tit,袂得,不得,
boi6 tit,bõi-tit,𠀾得,不得,
boi7 chienn7 puann5,bōi-chiēⁿ-puâⁿ,賣上盤,批發銷售,
boi7 phinn nang5,bōi-phiⁿ--nâng,賣平儂,賣便宜給人,
boi7 phinn nang5,bōi-phiⁿ--nâng,賣平人,賣便宜給人,
bou2,bóu,母,老婆,
bou2,bóu,𡚸,老婆,
bou2,bóu,𡜿,老婆,
bou2 tuann,bóu-tuaⁿ,牡丹,,
bu2 inn7,bú-īⁿ,撫院,撫院,
bu2 kuann,bú-kuaⁿ,武官,武官,
bu7 lua7,bū-luā,誣賴,誣賴,
bu7 tsui2,bū-tsúi,霧水,霧水,
bua5 khou2,buâ-khóu,磨苦,磨苦,
bua5 to chieh8,buâ-to-chie̍h,磨刀石,磨刀石,
buan7 si3,buān-sì,萬世,永恆,
buang5 ieh,buâng-ieh,忘約,違約,
buang5 urn,buâng-ṳn,忘恩,忘恩,
bue2 bue2,búe-búe,尾尾,條條,
bue2 iah8,búe-ia̍h,尾蝶,蝴蝶,
bue5 nang5,bûe-nâng,媒儂,媒人,
bue5 nang5,bûe-nâng,媒人,媒人,
bue5 nek8,bûe-ne̍k,脢肉,裏脊肉,
bui3,bùi,痱,痱子,
bun5 kuann,bûn-kuaⁿ,文官,文官,
bun5 tham5,bûn-thâm,文壇,,
bun5 tshai2 hiok hiok,bûn-tshái-hiok-hiok,文采郁郁,,
bun6 chienn,bũn-chieⁿ,文章,文章,
che2 muenn7 kiann2,ché-mūeⁿ-kiáⁿ,姐妹囝,姐妹,
che3 tsu2,chè-tsú,債主,債權人,
cheh ham5,cheh-hâm,職銜,軍銜,
cheh jim6,cheh-jĩm,職任,職務,
cheh tsue7,cheh-tsūe,責罪,責備,
chek ak,chek-ak,積惡,積惡,
chek li7,chek-lī,則例,則例,
chek tai5,chek-tâi,燭檯,燭檯,
chek tiou5,chek-tiôu,一條,一條,
chek8 bue2,che̍k-búe,一尾,一條,
chek8 chiah chiau2,che̍k-chiah chiáu,一隻鳥,,
chek8 hu3,che̍k-hù,一副,一副,
chek8 hun cheng,che̍k-hun-cheng,一分鐘,一分鐘,
chek8 khai3,che̍k-khài,一㮣,一概,
chek8 khek cheng,che̍k-khek-cheng,一刻鐘,一刻鐘,
chek8 khun3 kiann2,che̍k-khùn-kiáⁿ,一頃囝,一會兒,
chek8 ki,che̍k-ki,一枝,一枝,
chek8 koinn,che̍k-koiⁿ,一間,,
chek8 pe2,che̍k-pé,一把,一把,
chek8 pe2 hue,che̍k-pé-hue,一把花,一把花,
chek8 phit,che̍k-phit,一疋,一匹,
chek8 sang,che̍k-sang,一雙,一雙,
chek8 siu,che̍k-siu,一收,一收,
chek8 siu7,che̍k-siū,一弓,一弓,
chek8 tan3,che̍k-tàn,一旦,,
chek8 tann3,che̍k-tàⁿ,一擔,,
chek8 tann3,che̍k-tàⁿ,一担,,
chek8 tau2 chiu2,che̍k-táu chiú,一斗酒,,
chek8 tenn6 hue,che̍k-tẽⁿ-hue,一𢯰花,,
chek8 thiap,che̍k-thiap,一帖,一帖,
chek8 tiam2,che̍k-tiám,一點,一點,
chek8 to5,che̍k-tô,一朶,,
chek8 tsai7,che̍k-tsāi,一儎,一儎,
chek8 tshoh,che̍k-tshoh,一撮,,
chek8 tshut hi3,che̍k-tshut hì,一齣戲,,
chek8 tui3,che̍k-tùi,一對,一對,
chek8 tun,che̍k-tun,一堆,一堆,
cheng ainn3,cheng-àiⁿ,鍾愛,,
cheng hok8,cheng-ho̍k,征服,,
cheng senn,cheng-seⁿ,眾牲,家畜,
cheng sun,cheng-sun,曾孫,曾孫,
cheng thau5,cheng-thâu,鐘頭,,
cheng tsak,cheng-tsak,掙扎,,
cheng tsau2 sun,cheng-tsáu-sun,曾走孫,曾孫女,
cheng3 kur6,chèng-kṳ̃,證據,證據,
cheng3 nang5,chèng-nâng,眾儂,眾人,
cheng3 nang5,chèng-nâng,眾人,眾人,
cheng3 senn5,chèng-sêⁿ,衝性,發脾氣,
cheng3 tau7,chèng-tāu,種豆,打疫苗,
cheng3 tsoh,chèng-tsoh,種作,耕作,
cheng3 tsu,chèng-tsu,種珠,打疫苗,
cheng3 tsuang6,chèng-tsuãng,症狀,,
chenn2 nuann5,chéⁿ-nuâⁿ,井欄,,
chenn6 chenn6,chẽⁿ-chẽⁿ,靜靜,靜靜,
chhe hiah8,chhe-hia̍h,差役,差役,
chhe3 kng,chhè-kng,廁缸,便池,
chhe5 thoinn2,chhê-thóiⁿ,查睇,查看,
chhe5 thoinn2,chhê-thóiⁿ,查看,查看,
chheh hur5,chheh-hṳ̂,冊魚,書蟲,
chheh ke3,chheh-kè,冊架,書架,
chheh phue5,chheh-phûe,冊皮,書籍封面,
chheh tu5,chheh-tû,冊櫥,書櫥,
chhek tshng,chhek-tshng,粟倉,穀倉,
chheng hu,chheng-hu,稱呼,,
chheng khih,chheng-khih,清潔,乾淨,
chheng khih,chheng-khih,淸潔,乾淨,
chheng khih sienn3,chheng-khih-sièⁿ,清潔相,乾淨狀,
chheng khih sienn3,chheng-khih-sièⁿ,淸潔相,乾淨狀,
chheng tsho2,chheng-tshó,清楚,清楚,
chheng tsho2,chheng-tshó,淸楚,清楚,
chheng3 cheh,chhèng-cheh,稱職,,
chheng3 chi2,chhèng-chí,銃子,子彈,
chheng3 ieh8,chhèng-ie̍h,銃藥,彈藥,
chheng3 khang,chhèng-khang,銃空,槍管,
chheng7 sann khou3,chhēng saⁿ-khòu,穿衫褲,,
chhenn chhenn,chheⁿ-chheⁿ,青青,青青,
chhenn chhenn,chheⁿ-chheⁿ,靑靑,青青,
chhenn huan,chheⁿ-huan,青番,青番,
chhenn huan,chheⁿ-huan,靑番,青番,
chhenn huan5,chheⁿ-huân,生礬,綠礬,
chhenn hun7 nang5,chheⁿ-hūn-nâng,生份儂,陌生人,
chhenn hun7 nang5,chheⁿ-hūn-nâng,生份人,陌生人,
chhenn hun7 nang5,chheⁿ-hūn-nâng,生分儂,陌生人,
chhenn hun7 nang5,chheⁿ-hūn-nâng,生分人,陌生人,
chhenn m2,chheⁿ-ḿ,親姆,親家母,
chhenn menn5,chheⁿ-mêⁿ,青盲,瞎,
chhenn menn5,chheⁿ-mêⁿ,靑盲,瞎,
chhenn thih,chheⁿ-thih,生鐵,生鐵,
chhenn thinn,chheⁿ-thiⁿ,青天,青天,
chhenn thinn,chheⁿ-thiⁿ,靑天,青天,
chhenn tshai3,chheⁿ-tshài,生菜,沙拉,
chhenn2 khi2 lai5,chhéⁿ--khí-lâi,醒起來,醒起來,
chhi ku6,chhi-kũ,妻舅,妻舅,
chhi liang5,chhi-liâng,淒涼,,
chhi liang5,chhi-liâng,凄凉,凄凉,
chhi ngai5,chhi-ngâi,癡呆,,
chhi tsham2,chhi-tshám,悽慘,,
chhi tsham2,chhi-tshám,悽慘,悲慘,
chhi3 kng2,chhì-kńg,試卷,,
chhi3 nann3 phe3,chhì-nàⁿ-phè,刺藍帕,刺藍帕,
chhi3 thoinn2,chhì-thóiⁿ,試着,試着,
chhi3 thoinn2,chhì-thóiⁿ,試睇,試看,
chhi3 thoinn2,chhì-thóiⁿ,試看,試看,
chhi5 khak,chhî-khak,刺殼,鰣魚,
chhia sue3,chhia-sùe,車稅,車稅,
chhia tsou,chhia-tsou,車租,車費,
chhiah hue,chhiah-hue,刺花,繡花,
chhiah ji7,chhiah-jī,刺字,,
chhiah kha,chhiah-kha,赤骹,妾,
chhiah kha,chhiah-kha,赤腳,妾,
chhiah nek8,chhiah-ne̍k,赤肉,瘦肉,
chhiah thng5,chhiah-thn̂g,赤糖,紅糖,
chhiam miann5,chhiam-miâⁿ,簽名,,
chhiam miann5,chhiam-miâⁿ,簽名,簽名,
chhiam si,chhiam-si,籤詩,,
chhiang3 hua5,chhiàng-huâ,唱和,,
chhiang5 tou7,chhiâng-tōu,長度,,
chhiang5 u to2 tham3,chhiâng-u-tó-thàm,長吁短嘆,,
chhiann2 tann2,chhiáⁿ-táⁿ,請待,稍等,
chhiann2 uann,chhiáⁿ-uaⁿ,請安,請安,
chhiau5 to7,chhiâu-tō,朝代,,
chhie3 khek,chhiè-khek,唱曲,唱曲,
chhie3 kua,chhiè-kua,唱歌,,
chhie3 kua,chhiè-kua,唱歌,唱歌,
chhieh chhieh,chhieh-chhieh,淖淖,淖淖,
chhieh muenn5,chhieh-mûeⁿ,淖糜,稀粥,
chhienn hur5,chhieⁿ-hṳ̂,鯧魚,鯧魚,
chhienn2 pak,chhiéⁿ-pak,搶剝,搶劫,
chhienn6 ge5,chhiẽⁿ-gê,象牙,象牙,
chhiet chhiet,chhiet-chhiet,切切,切記,
chhiet iou3,chhiet-iòu,切要,切要,
chhim khenn,chhim-kheⁿ,深坑,山谷,
chhin chhek,chhin-chhek,親戚,親戚,
chhin chhienn6,chhin-chhiẽⁿ,親像,好像;相似,
chhin chiann5,chhin-chiâⁿ,親情,親戚,
chhin chiann6,chhin-chiãⁿ,親情,親戚,
chhin ke,chhin-ke,親家,親家,
chhin nang5,chhin-nâng,親儂,親人,
chhin nang5,chhin-nâng,親人,親人,
chhin3 thui5,chhìn-thûi,秤錘,秤錘,
chhin3 tshai2,chhìn-tshái,凊彩,隨便,
chhin5 phue5,chhîn-phûe,陳皮,,
chhinn2 pou3,chhíⁿ-pòu,青布,青布,
chhinn2 pou3,chhíⁿ-pòu,靑布,青布,
chhiou5 theng5,chhiôu-thêng,朝廷,朝廷,
chhit kha kai5 sui,chhit-kha kâi sui,拭骹个蓑,門墊,
chhit kha kai5 sui,chhit-kha kâi sui,拭腳个蓑,門墊,
chhiu chhien,chhiu-chhien,鞦韆,,
chhiu hun,chhiu-hun,秋分,,
chhiu it,chhiu-it,初一,初一,
chhiu ji7,chhiu-jī,初二,初二,
chhiu kau2,chhiu-káu,初九,,
chhiu sann,chhiu-saⁿ,初三,初三,
chhiu2 chi2,chhiú-chí,手指,戒指,
chhiu2 e6,chhiú-ẽ,手下,手下,
chhiu2 huan5,chhiú-huân,手環,手環,
chhiu2 kurn,chhiú-kṳn,手巾,餐巾,
chhiu2 lap,chhiú-lap,手套,手套,
chhiu2 lou6,chhiú-lõu,醜陋,,
chhiu2 pie,chhiú-pie,手錶,,
chhiu2 pou3,chhiú-pòu,手布,手帕,
chhiu2 pu3,chhiú-pù,手背,,
chhiu2 thng6,chhiú-thñg,手肘,手肘,
chhiu2 tiu5,chhiú-tiû,手綢,手帕,
chhiu2 toi2,chhiú-tói,手底,手底,
chhiu2 tsoinn2,chhiú-tsóiⁿ,手指,手指,
chhiu2 uan2,chhiú-uán,手腕,手腕,
chhiu5 nang5,chhiû-nâng,仇儂,仇人,
chhiu5 nang5,chhiû-nâng,仇人,仇人,
chhiu7 kan3,chhiū-kàn,樹幹,,
chhiu7 ki,chhiū-ki,樹枝,樹枝,
chhiu7 ninn5,chhiū-nîⁿ,樹呢,樹脂,
chhiu7 ninn5,chhiū-nîⁿ,樹泥,橡膠,
chhiu7 pa3,chhiū-pà,樹欛,樹枝,
chhiu7 phue5,chhiū-phûe,樹皮,樹皮,
chi2 chuann3 kai5,chí-chuàⁿ-kâi,此些个,這些個,
chi2 kurn6 jit8,chí-kṳ̃n-ji̍t,此近日,近幾天,
chi2 kurn6 si5,chí-kṳ̃n-sî,此近時,近幾天,
chi2 muenn7 kiann2,chí-mūeⁿ-kiáⁿ,姊妹囝,姊妹,
chi2 si6,chí-sĩ,只是,,
chi2 tah,chí-tah,此搭,,
chi2 tsun5,chí-tsûn,此陣,現在,
chi3,chì,𩛌,(貪)吃,
chi3,chì,䭄,(貪)吃,
chi3,chì,嗜,(貪)吃,
chi3 hiang3,chì-hiàng,志向,,
chi3 phin5,chì-phîn,濟貧,濟貧,
chi3 tou7,chì-tōu,制度,,
chi3 tsau6,chì-tsãu,製造,,
chia3 phoh,chià-phoh,蔗粕,甘蔗渣,
chia6 khau2,chiã-kháu,藉口,,
chiah8 che,chia̍h-che,食齋,吃齋,
chiah8 chek,chia̍h-chek,食積,積食,
chiah8 chinn5,chia̍h-chîⁿ,食錢,受賄,
chiah8 chiu2 tsui3,chia̍h-chiú-tsùi,食酒醉,喝醉酒,
chiah8 hun,chia̍h-hun,食薰,抽菸,
chiah8 ieh8,chia̍h-ie̍h,食藥,吃藥,
chiah8 keh,chia̍h-keh,食槅,飯盒,
chiah8 liang5,chia̍h-liâng,食凉,食凉,
chiah8 m6 loh8,chia̍h-m̃-lo̍h,食毋落,吃不下,
chiah8 m6 loh8,chia̍h-m̃-lo̍h,食唔落,吃不下,
chiah8 meng3 khi2,chia̍h-mèng-khí,食瞑起,吃早餐,
chiah8 menn5 hng,chia̍h-mêⁿ-hng,食夜昏,吃晚餐,
chiah8 muenn5,chia̍h-mûeⁿ,食粥,喝粥,
chiah8 pang5,chia̍h-pâng,食房,餐廳,
chiah8 pou2,chia̍h-póu,食補,吃補品,
chiah8 si2 nang5,chia̍h-sí-nâng,食死儂,吃死人,
chiah8 si2 nang5,chia̍h-sí-nâng,食死人,吃死人,
chiah8 sia3,chia̍h-sià,食瀉,吃瀉藥,
chiah8 tau7,chia̍h-tāu,食痘,水痘,
chiah8 toh,chia̍h-toh,食桌,餐桌,
chiah8 tshau2,chia̍h-tsháu,食草,吃草,
chiah8 tshng5,chia̍h-tshn̂g,食床,餐桌,
chiah8 tshng5,chia̍h-tshn̂g,食牀,餐桌,
chiah8 tsho,chia̍h-tsho,食臊,吃葷,
chiah8 tu5,chia̍h-tû,食櫥,食櫥,
chiam pok,chiam-pok,占卜,,
chiam3 kue3,chiàm-kùe,佔過,侵佔,
chiam3 niann2,chiàm-niáⁿ,佔領,,
chiam6 chiam6,chiãm-chiãm,漸漸,漸漸,
chiam7 si2,chiām-sí,暫時,暫時,
chiang lai5,chiang-lâi,將來,將來,
chiang2 kuan2,chiáng-kuán,掌管,掌管,
chiang2 kuinn7,chiáng-kūiⁿ,掌櫃,收銀員,
chiang2 tai6,chiáng-tãi,長大,,
chiang3 kun,chiàng-kun,將軍,將軍,
chiang7 ti7,chiāng-tī,丈地,丈地,
chiann gueh8,chiaⁿ--gu̍eh,正月,正月,
chiann nek8,chiaⁿ-ne̍k,腈肉,瘦肉,
chiann2,chiáⁿ,䭕,(味)淡,
chiann2 li2,chiáⁿ-lí,整理,整理,
chiann3 chhiu2,chiàⁿ-chhiú,正手,右手,
chiann3 keng,chiàⁿ-keng,正經,正經,
chiann3 sienn5,chiàⁿ-siêⁿ,正常,,
chiann3 tit8,chiàⁿ-ti̍t,正直,正直,
chiau2 menn5,chiáu-mêⁿ,雀暝,夜盲,
chie kann,chie-kaⁿ,招柑,橘子,
chie pai5,chie-pâi,招牌,招牌,
chie2 u6,chié-ũ,少有,少有,
chie3 lut8,chiè-lu̍t,照律,依法,
chieh eng7,chieh-ēng,借用,,
chieh mng7,chieh-mn̄g,借問,諮詢,
chieh si3,chieh-sì,借勢,,
chieh8 hue,chie̍h-hue,石灰,石灰,
chieh8 ko,chie̍h-ko,石膏,石膏,
chieh8 lou7,chie̍h-lōu,石路,石路,
chieh8 pi,chie̍h-pi,石碑,石碑,
chieh8 pou6,chie̍h-põu,石部,石頭,
chieh8 teng5,chie̍h-têng,石亭,石亭,
chieh8 tshur2,chie̍h-tshṳ́,石鼠,石鼠,
chien2 ki,chién ki,趁機,,
chien2 tuan3,chién-tuàn,診斷,,
chien3 iann5,chièn-iâⁿ,戰羸,戰羸,
chien3 su,chièn-su,戰輸,戰輸,
chien3 tau3,chièn-tàu,戰鬥,,
chien3 tau3,chièn-tàu,戰鬦,,
chien3 tshai2,chièn-tshái,剪綵,,
chien3 tsun5,chièn-tsûn,戰船,戰艦,
chienn lo2,chieⁿ-ló,樟栳,樟腦,
chienn tsha5,chieⁿ-tshâ,樟柴,樟腦,
chienn2 ienn5 kai5 nang5,chiéⁿ-iêⁿ--kâi-nâng,掌羊嘅儂,守羊的人,
chienn2 ienn5 kai5 nang5,chiéⁿ-iêⁿ--kâi-nâng,掌羊嘅人,守羊的人,
chienn2 kenn nang5,chiéⁿ-keⁿ-nâng,掌更儂,守夜人,
chienn2 kenn nang5,chiéⁿ-keⁿ-nâng,掌更人,守夜人,
chienn3 senn,chièⁿ-seⁿ,此樣生,如此,
chienn6 mak8,chiẽⁿ-ma̍k,上目,瞄準,
chienn6 siou3,chiẽⁿ-siòu,上數,入賬,
chienn7 kua3,chiēⁿ-kuà,上午,上午,
chienn7 kua3,chiēⁿ-kuà,上旰,上午,
chih sann khou3,chih saⁿ-khòu,摺衫褲,,
chih tsue7,chih-tsūe,摺痕,摺痕,
chih8 hok8,chi̍h-ho̍k,折服,,
chih8 ie,chi̍h-ie,折腰,,
chim2 thau5,chím-thâu,枕頭,枕頭,
chim2 thau5 long5,chím-thâu-lông,枕頭囊,枕頭套,
chin sit8,chin-si̍t,真實,真實,
chin sit8,chin-si̍t,眞實,真實,
chin2 tang6,chín-tãng,震盪,,
chin6 kho2 leng5,chĩn khó-lêng,儘可能,,
chinn bo7,chiⁿ-bō,氈帽,氈帽,
chinn nguru5,chiⁿ-ngṳ̂u,錢銀,錢財,
chinn thi5,chiⁿ-thî,支持,,
chinn3 pa2,chìⁿ-pá,箭靶,箭靶,
chinn5 leng5,chîⁿ-lêng,蠐龍,蜥蜴,
chinn5 tshang,chîⁿ-tshang,薺蔥,荸薺,
chinn5 tsua2,chîⁿ-tsuá,錢紙,紙錢,
chiou hu,chiou-hu,招呼,招呼,
