han,puj,simple_puj,freq,phrase,phrase_puj,phrase_simple_puj
席,sia̍h,siah8,k00,,,
帳,tièⁿ,tienn3,,,,
帶,tuà,tua3,k00,,,
常,chhiâng,chhiang5,,無常時,bô-chhiâng-sî,bo5-chhiang5-si5
常,siâng,siang5,k00,反常,huán-siâng,huan2-siang5
常,siêⁿ,sienn5,k10,正常,chiàⁿ-siêⁿ,chiann3-sienn5
帽,bō,bo7,,,,
幀,cheng,cheng1,,,,
幅,pak,pak4,k00,,,
幋,phuân,phuan5,,頷幋,ãm-phuân,am6-phuan5
幌,huáng,huang2,,,,
幔,mua,mua1,,頷幔,ãm-mua,am6-mua1
幕,mãng,mang6,,,,
幕,mõ,mo6,,,,
幗,kok,kok4,,,,
幟,chì,chi3,k10,,,
幡,huan,huan1,,,,
幡,phuan,phuan1,,,,
幢,thông,thong5,,幢幡,thông-huan,thong5-huan1
幣,pĩ,pi6,k10,,,
幫,pang,pang1,k00,,,
干,kan,kan1,k10,天干地支,thiⁿ-kan-tī-chiⁿ,thinn1-kan1-ti7-chinn1
干,kan,kan1,k10,無相干,bô-siang-kan,bo5-siang1-kan1
平,pêⁿ,penn5,,,,
平,phêng,pheng5,k00,,,
平,phêⁿ,phenn5,,,,
平,pîn,pin5,,,,
年,nî,ni5,k00,,,
幷,pẽng,peng6,k22,幷州,pẽng-chiu,peng6-chiu1
幸,hẽng,heng6,k00,寵幸,thóng-hẽng,thong2-heng6
幸,hẽng,heng6,k00,幸災樂禍,hẽng-tsai-la̍k-huã,heng6-tsai1-lak8-hua6
幹,kàn,kan3,k11,幹部,kàn-põu,kan3-pou6
幹,kàn,kan3,k11,才幹,tshâi-kàn,tshai5-kan3
幹,kàn,kan3,k11,樹幹,chhiū-kàn,chhiu7-kan3
幺,iau,iau1,,,,
幻,huàn,huan3,,,,
幼,iùⁿ,iunn3,k10,,,
幽,hiuⁿ,hiunn1,k10,,,
幾,ki,ki1,k00,幾乎,ki-hu,ki1-hu1
幾,ki,ki1,k00,幾何,ki-hô,ki1-ho5
幾,kúi,kui2,k01,幾个人,kúi-kâi nâng,kui2-kai5 nang5
庇,pì,pi3,k10,,,
床,tshn̂g,tshng5,k00,,,
序,sũ,su6,k00,,,
底,tî,ti5,k00,底个,tî-kâi,ti5-kai5
底,tói,toi2,k10,到底,kàu-tói,kau3-toi2
庖,phâu,phau5,,,,
店,tiàm,tiam3,k00,,,
庚,keⁿ,kenn1,,,,
府,hú,hu2,,,,
度,ta̍k,tak8,,,,
度,tōu,tou7,k00,,,
座,tsō,tso7,k10,,,
庫,khòu,khou3,k00,,,
庭,thêng,theng5,,,,
庭,tiâⁿ,tiann5,,,,
庵,am,am1,,,,
庶,sù,su3,,,,
康,khang,khang1,k00,,,
庸,iông,iong5,,,,
廁,chhè,chhe3,k00,,,
廂,sieⁿ,sienn1,,,,
廄,kì,ki3,,,,
廄,kiù,kiu3,,,,
廈,ẽ,e6,,,,
廈,hē,he7,,,,
廉,liâm,liam5,,,,
廊,lâng,lang5,,,,
廓,kuat,kuat4,,,,
廖,liāu,liau7,,,,
廚,tôu,tou5,k10,,,
廟,biē,bie7,,,,
廠,chhiáng,chhiang2,k10,,,
廢,hùi,hui3,k00,,,
廣,kńg,kng2,,,,
廣,kuáng,kuang2,k00,,,
廬,lôu,lou5,,,,
廬,lû,lu5,,,,
廳,thiaⁿ,thiann1,k10,,,
延,iẽn,ien6,k00,,,
廷,thêng,theng5,,,,
建,kièn,kien3,,,,
建,kiẽn,kien6,k00,,,
廿,jia̍p,jiap8,,,,
廿,ji̍h,jih8,k10,,,
廿,liãm,liam6,,,,
弄,lõng,long6,k00,,,
弈,e̍k,ek8,,,,
弊,pī,pi7,k10,,,
式,sek,sek4,k00,,,
弒,chhì,chhi3,,,,
弓,keng,keng1,,,,
弔,tiàu,tiau3,k11,憑弔,phêng-tiàu,pheng5-tiau3
引,ín,in2,k00,,,
弗,hut,hut4,,,,
弘,hông,hong5,,,,
弛,sí,si2,,,,
弟,tĩ,ti6,k00,,,
弦,hîⁿ,hinn5,,,,
弧,hû,hu5,k10,,,
弭,ní,ni2,,,,
弱,jia̍k,jiak8,k00,,,
張,chiang,chiang1,k00,,,
張,tieⁿ,tienn1,k01,,,
強,khiâng,khiang5,k00,,,
強,kiáng,kiang2,,,,
彈,thân,than5,k10,砲彈,phàu-thân,phau3-than5
彈,tuāⁿ,tuann7,,彈琴,tuāⁿ khîm,tuann7 khim5
彌,ní,ni2,,彌補,ní-póu,ni2-pou2
彎,uan,uan1,k00,,,
彗,hũi,hui6,,,,
彘,tĩ,ti6,,,,
彙,hũe,hue6,k10,詞彙,sṳ̂-hũe,sur5-hue6
彝,î,i5,,,,
形,hêng,heng5,k00,,,
彤,thông,thong5,,,,
彥,ngãn,ngan6,,,,
彩,tshái,tshai2,k00,彩色,tshái-sek,tshai2-sek4
彪,piu,piu1,,,,
彬,pin,pin1,,,,
彭,pang,pang1,,,,
彭,phâng,phang5,,,,
彭,phêⁿ,phenn5,,,,
彰,chiang,chiang1,,,,
影,iáⁿ,iann2,k00,,,
彳,chhek,chhek4,,,,
彳,chhi̍h,chhih8,,,,
彳,thek,thek4,,,,
彷,huáng,huang2,k10,彷彿,huáng-hut,huang2-hut4
彷,phâng,phang5,,彷徨,phâng-huâng,phang5-huang5
役,hia̍h,hiah8,,,,
彼,hṳ́,hur2,,,,
彼,pí,pi2,,,,
彿,hut,hut4,k10,彷彿,huáng-hut,huang2-hut4
往,uáng,uang2,k00,,,
征,cheng,cheng1,k11,征服,cheng-ho̍k,cheng1-hok8
待,thãi,thai6,k00,,,
很,hṳ́n,hurn2,,,,
徊,huâi,huai5,,,,
律,lu̍t,lut8,k00,,,
後,ãu,au6,k00,後壁,ãu-piah,au6-piah4
後,hãu,hau6,k01,後生,hãu-seⁿ,hau6-senn1
徐,tshṳ̂,tshur5,,,,
徑,kèⁿ,kenn3,,半徑,puàⁿ-kèⁿ,puann3-kenn3
徑,kèⁿ,kenn3,,路徑,lōu-kèⁿ,lou7-kenn3
徒,thû,thu5,,,,
得,tit,tit4,k00,,,
徘,pâi,pai5,,,,
徙,suá,sua2,k10,,,
徛,khiã,khia6,k00,,,
從,tshông,tshong5,k00,,,
御,gṳ̄,gur7,,御用,gṳ̄-ēng,gur7-eng7
徨,huâng,huang5,,,,
復,ho̍k,hok8,k10,復仇,ho̍k-chhiû,hok8-chhiu5
復,ho̍k,hok8,k10,恢復,khue-ho̍k,khue1-hok8
循,sûn,sun5,,,,
微,mûi,mui5,k00,,,
徵,teng,teng1,k10,徵兆,teng-tiãu,teng1-tiau6
徵,teng,teng1,k10,徵求,teng-khiû,teng1-khiu5
德,tek,tek4,,,,
徹,thiet,thiet4,k10,,,
徽,hui,hui1,,,,
心,sim,sim1,k00,,,
必,pit,pit4,k00,,,
忌,khī,khi7,,,,
忌,kĩ,ki6,,,,
忍,jím,jim2,k10,,,
忍,lún,lun2,,,,
忐,thán,than2,,,,
忑,thek,thek4,,,,
忒,thek,thek4,,,,
忒,thih,thih4,,,,
忖,tshún,tshun2,,,,
志,chì,chi3,k00,志向,chì-hiàng,chi3-hiang3
忘,buâng,buang5,k00,,,
忙,mâng,mang5,k00,,,
忝,thiám,thiam2,,,,
忠,tong,tong1,,,,
忡,tshong,tshong1,,,,
快,khuài,khuai3,,,,
快,khùe,khue3,,,,
忱,sîm,sim5,,,,
念,liãm,liam6,k00,信念,sìn-liãm,sin3-liam6
忻,hṳn,hurn1,,,,
忽,hut,hut4,k10,,,
忿,hún,hun2,,,,
怎,tsá,tsa2,k00,,,
怎,tsò,tso3,,,,
怒,nò,no3,,,,
怒,nō,no7,k10,,,
怔,cheng,cheng1,,,,
怕,phàⁿ,phann3,,,,
怖,pù,pu3,,,,
思,sai,sai1,,,,
思,si,si1,,,,
思,sṳ,sur1,k00,,,
思,sṳ̀,sur3,,,,
怠,tãi,tai6,,,,
怡,î,i5,,,,
急,kip,kip4,k00,,,
怦,phêng,pheng5,,,,
性,sèⁿ,senn3,k00,,,
怨,uàn,uan3,k00,,,
怪,kuài,kuai3,k00,,,
怪,kùe,kue3,,,,
怯,khiak,khiak4,,,,
恁,jím,jim2,k22,,,
恁,nín,nin2,k00,,,
恃,sĩ,si6,,,,
恆,hêng,heng5,,,,
恍,huáng,huang2,,,,
恐,khióng,khiong2,,,,
恕,sù,su3,,,,
恙,iãng,iang6,,,,
恢,khue,khue1,,,,
恣,tsṳ̀,tsur3,,,,
恤,sut,sut4,,,,
恥,chhí,chhi2,k10,,,
恨,hṳ̃n,hurn6,,,,
恩,ṳn,urn1,k10,,,
恪,khak,khak4,,,,
恫,thông,thong5,,,,
恬,thiâm,thiam5,,,,
恬,tiâm,tiam5,,,,
恬,tiām,tiam7,,,,
恭,kiong,kiong1,k10,,,
息,sek,sek4,k10,,,
恰,khap,khap4,,,,
恿,iòng,iong3,,,,
悄,chhiau,chhiau1,,,,
悄,chhiáu,chhiau2,k10,,,
悅,zua̍t,zuat8,,,,
悉,sek,sek4,k10,,,
悍,hán,han2,,,,
悔,hùe,hue3,k10,,,
悟,ngõ,ngo6,,,,
悠,hiuⁿ,hiunn1,k10,,,
患,huãm,huam6,,,,
悲,pui,pui1,k10,,,
悶,būn,bun7,,,,
悸,kùi,kui3,,,,
悼,tsãu,tsau6,,,,
悽,chhi,chhi1,,悽慘,chhi-tshám,chhi1-tsham2
情,chhêng,chheng5,k00,,,
情,chiâⁿ,chiann5,,,,
惋,uán,uan2,,,,
惑,ho̍k,hok8,k10,,,
惕,thek,thek4,,,,
惜,sieh,sieh4,k00,,,
惟,zûi,zui5,,,,
惠,hũi,hui6,k11,,,
惡,ak,ak4,k00,罪惡,tsũe-ak,tsue6-ak4
惡,oh,oh4,k01,惡讀,oh tha̍k,oh4 thak8
惡,ù,u3,k10,可惡,khó-ù,kho2-u3
惦,tiàm,tiam3,,,,
惰,tuãⁿ,tuann6,k10,,,
惱,ló,lo2,,,,
惱,lóu,lou2,,,,
惱,náu,nau2,,,,
想,siáng,siang2,k00,,,
想,siẽⁿ,sienn6,k01,,,
惶,huâng,huang5,,,,
惹,jiá,jia2,k10,,,
惺,seng,seng1,,,,
愁,tshôu,tshou5,k10,,,
愈,zú,zu2,k00,愈來愈好,zú lâi zú hó,zu2 lai5 zu2 ho2
愉,zû,zu5,,,,
愊,pek,pek4,,愊,pek,pek4
意,ì,i3,k00,,,
愕,ngo̍h,ngoh8,,驚愕,kiaⁿ-ngo̍h,kiann1-ngoh8
愚,ngô,ngo5,,,,
愛,àiⁿ,ainn3,k00,,,
愜,kiap,kiap4,,,,
感,kám,kam2,k00,,,
愧,khũi,khui6,,,,
愩,kòng,kong3,,,,
愿,nguãn,nguan6,,甘愿,kam-nguãn,kam1-nguan6
慄,la̍k,lak8,,,,
慄,lia̍k,liak8,,,,
慈,tshṳ̂,tshur5,k10,,,
態,thài,thai3,,,,
慌,huang,huang1,,,,
慎,sím,sim2,,,,
慕,mõ,mo6,k10,,,
慘,tshám,tsham2,k10,,,
慚,tshâm,tsham5,,,,
慢,buãn,buan6,,,,
慢,mān,man7,k00,,,
慣,kuàn,kuan3,k00,,,
慣,kùiⁿ,kuinn3,,,,
慧,hũi,hui6,k11,,,
慧,kōi,koi7,,,,
慨,khài,khai3,,,,
慫,sóng,song2,,,,
慮,lṳ̃,lur6,,,,
慰,ùe,ue3,k10,,,
慳,kien,kien1,,慳吝,kien-liẽn,kien1-lien6
慶,khèng,kheng3,k10,,,
慷,khang,khang1,,,,
慾,io̍k,iok8,k10,慾望,io̍k-mō,iok8-mo7
憂,iu,iu1,k10,,,
憊,pĩ,pi6,,,,
憋,pih,pih4,,,,
憎,cheng,cheng1,,,,
憐,liâng,liang5,,,,
憐,liên,lien5,k10,,,
憑,phêng,pheng5,k00,,,
憚,tãn,tan6,,,,
憤,hùn,hun3,,,,
憧,tông,tong5,,心憧憧,sim-tông-tông,sim1-tong5-tong5
憨,ham,ham1,,,,
憫,mién,mien2,,,,
憲,hièn,hien3,,,,
憶,e̍k,ek8,k00,,,
憶,ì,i3,k01,,,
憾,hãm,ham6,,,,
懂,tóng,tong2,k10,,,
懇,khún,khun2,,,,
懈,hãi,hai6,,,,
應,èng,eng3,k00,,,
應,ìn,in3,,,,
懊,àu,au3,,,,
懊,ò,o3,,,,
懦,nò,no3,,,,
懲,théng,theng2,,,,
懶,lán,lan2,,,,
懷,huâi,huai5,k10,,,
懸,hiên,hien5,,,,
懸,hûiⁿ,huinn5,,,,
懸,kûiⁿ,kuinn5,,,,
懺,chhiam,chhiam1,,,,
懼,kũ,ku6,,,,
懾,niap,niap4,,,,
戀,luàn,luan3,,,,
戇,kông,kong5,,,,
戈,kho,kho1,,,,
戊,bōu,bou7,,,,
戌,sut,sut4,,,,
戍,sùe,sue3,,,,
戎,zông,zong5,,,,
成,chhiâⁿ,chhiann5,,,,
成,chiâⁿ,chiann5,,做成,tsò chiâⁿ,tso3 chiann5
成,sêng,seng5,k00,成功,sêng-kong,seng5-kong1
成,siâⁿ,siann5,k02,三成,saⁿ siâⁿ,sann1 siann5
我,ngó,ngo2,,,,
我,uá,ua2,k00,,,
戒,kài,kai3,k10,,,
戕,chhiang,chhiang1,,,,
或,ho̍k,hok8,k10,,,
戚,chhek,chhek4,,,,
戡,kham,kham1,,,,
戥,téng,teng2,k10,,,
截,tso̍ih,tsoih8,,,,
戮,lo̍k,lok8,,,,
戰,chièn,chien3,k10,,,
戲,hì,hi3,k10,,,
戳,chhiak,chhiak4,,,,
戳,tshok,tshok4,,,,
戴,tài,tai3,k11,擁戴,iòng-tài,iong3-tai3
戴,tì,ti3,,戴帽,tì bō,ti3 bo7
戴,tò,to3,,,,
戶,hõu,hou6,k00,,,
戽,hòu,hou3,,,,
戾,lĩ,li6,,,,
房,pâng,pang5,k00,,,
所,só,so2,k00,,,
扁,phien,phien1,,扁舟,phien-chiu,phien1-chiu1
扁,pién,pien2,k10,扁擔,pién-taⁿ,pien2-tann1
扁,píⁿ,pinn2,k02,,,
扁,tam,tam1,,,,
扃,khêng,kheng5,,,,
扇,sìⁿ,sinn3,k10,紙扇,tsuá-sìⁿ,tsua2-sinn3
扉,hui,hui1,,,,
手,chhiú,chhiu2,k00,,,
才,tsâi,tsai5,,秀才,siù-tsâi,siu3-tsai5
才,tshâi,tshai5,k00,剛才,kang-tshâi,kang1-tshai5
扎,tsa,tsa1,,扎啤,tsa-pî,tsa1-pi5
扎,tsak,tsak4,,掙扎,cheng-tsak,cheng1-tsak4
扒,pê,pe5,,,,
打,phah,phah4,k22,,,
打,tá,ta2,,,,
扔,jêng,jeng5,,,,
托,thoh,thoh4,k11,托舉,thoh-kṳ́,thoh4-kur2
扛,kang,kang1,,,,
扛,kng,kng1,,,,
扣,khàu,khau3,k00,扣除,khàu-tṳ̂,khau3-tur5
扦,chhien,chhien1,,,,
扭,nãu,nau6,,,,
扭,niú,niu2,,,,
扮,pàn,pan3,k10,,,
扯,chhé,chhe2,,,,
扳,pán,pan2,,,,
扶,hû,hu5,k00,,,
批,phoi,phoi1,k00,,,
扼,eh,eh4,,,,
找,táu,tau2,,,,
承,sêng,seng5,k10,承認,sêng-jīn,seng5-jin7
承,sîn,sin5,,承水,sîn tsúi,sin5 tsui2
技,kĩ,ki6,k00,,,
抄,sa,sa1,,,,
抄,tshau,tshau1,k10,,,
抉,kuat,kuat4,,,,
抉,ueh,ueh4,,,,
把,pá,pa2,k00,把守,pá-siú,pa2-siu2
把,pé,pe2,k00,,,
抑,ak,ak4,k10,,,
抒,su,su1,,,,
抓,tsua,tsua1,,,,
抔,phôu,phou5,,,,
投,tâu,tau5,k10,,,
抖,táu,tau2,k00,,,
抗,khàng,khang3,k00,,,
折,chih,chih4,k00,拍折,phah-chih,phah4-chih4
折,chi̍h,chih8,,折服,chi̍h-ho̍k,chih8-hok8
折,chi̍h,chih8,,折腰,chi̍h-ie,chih8-ie1
折,chi̍h,chih8,,拗折,á-chi̍h,a2-chih8
抨,phêng,pheng5,,,,
披,phi,phi1,,,,
抬,thâi,thai5,,,,
抱,phãu,phau6,,抱不平,phãu-put-phêng,phau6-put4-pheng5
抱,phõ,pho6,k10,,,
抵,tí,ti2,k10,抵押,tí-ah,ti2-ah4
抵,tói,toi2,,,,
抹,buah,buah4,,,,
押,ah,ah4,k10,抵押,tí-ah,ti2-ah4
押,ap,ap4,k12,押韻,ap-ūn,ap4-un7
抽,thiu,thiu1,,,,
抿,mîn,min5,,,,
拂,hut,hut4,,,,
拄,tsú,tsu2,,,,
拆,thiah,thiah4,,,,
拇,bó,bo2,,,,
拇,ḿ,m2,,,,
拈,liam,liam1,,,,
拈,nia̍p,niap8,,,,
拉,la,la1,,,,
拉,la̍h,lah8,k22,亞伯拉罕,a-pek-la̍h-hán,a1-pek4-lah8-han2
拊,hú,hu2,,,,
拋,pha,pha1,,,,
拋,phau,phau1,,,,
拌,phuàn,phuan3,,,,
拍,phah,phah4,k00,,,
拎,lêng,leng5,,,,
拐,kuái,kuai2,,拐騙,kuái-phièn,kuai2-phien3
拒,kṳ̃,kur6,,,,
拓,thak,thak4,,,,
拔,po̍ih,poih8,,,,
拔,pua̍t,puat8,,選拔,suán-pua̍t,suan2-puat8
拖,thua,thua1,,,,
拗,á,a2,,,,
拗,áu,au2,,,,
拘,khu,khu1,,,,
拙,tsuat,tsuat4,,,,
拚,piàⁿ,piann3,k00,拍拚,phah-piàⁿ,phah4-piann3
拚,piàⁿ,piann3,k00,拚命,piàⁿ-miāⁿ,piann3-miann7
招,chiau,chiau1,k00,,,
招,chie,chie1,k11,,,
拜,pài,pai3,k00,,,
括,kuat,kuat4,k00,,,
拭,chhit,chhit4,k10,,,
拭,set,set4,,,,
拯,chín,chin2,,,,
拱,kióng,kiong2,,,,
拳,khûn,khun5,k10,,,
拴,tshuân,tshuan5,,,,
拷,kháu,khau2,,,,
拼,pheng,pheng1,k00,,,
拼,pheng,pheng1,k10,拼湊,pheng-tshòu,pheng1-tshou3
拽,hĩ,hi6,,,,
拾,sia̍p,siap8,,,,
拾,si̍p,sip8,,,,
拾,tsa̍p,tsap8,,,,
拿,ná,na2,,,,
持,thî,thi5,k00,,,
指,chí,chi2,k00,,,
指,kí,ki2,,,,
指,tsńg,tsng2,,,,
指,tsóiⁿ,tsoinn2,k01,,,
挈,khie̍h,khieh8,,,,
挈,khiet,khiet4,,,,
按,àn,an3,k00,,,
挎,khua,khua1,,,,
挐,zṳ̂,zur5,,挐挐,zṳ̂-zṳ̂,zur5-zur5
挑,thiau,thiau1,,,,
挑,thie,thie1,,,,
挖,uai,uai1,,,,
挨,ai,ai1,k12,挨打,ai-tá,ai1-ta2
挨,oi,oi1,k10,挨着,oi--tie̍h,oi1--tieh8
挪,nô,no5,,,,
挫,tshô,tsho5,,,,
振,chín,chin2,,,,
振,tín,tin2,,,,
挲,so,so1,,,,
挺,théng,theng2,,,,
挼,zûe,zue5,,,,
挽,mán,man2,k10,挽救,mán-kiù,man2-kiu3
挽,mán,man2,k10,挽面,mán-mīn,man2-min7
挾,hia̍p,hiap8,,,,
挾,ko̍ih,koih8,,,,
捂,u,u1,,,,
捅,thn̄g,thng7,,,,
捅,thóng,thong2,,,,
捆,khún,khun2,,,,
捉,tshok,tshok4,,,,
捌,poih,poih4,,,,
捍,hán,han2,,,,
捎,sau,sau1,,,,
捎,siau,siau1,,,,
捏,niap,niap4,,,,
捐,kien,kien1,,,,
捔,ka̍k,kak8,,捔掉,ka̍k-tiàu,kak8-tiau3
捕,pũ,pu6,,,,
捘,tsũn,tsun6,,,,
捧,phóng,phong2,k00,,,
捨,sià,sia3,k00,取捨,tshú-sià,tshu2-sia3
捬,hú,hu2,,捬着,hú--tie̍h,hu2--tieh8
据,khiet,khiet4,,,,
据,kṳ̂,kur5,,拮据,khiet-kṳ̂,khiet4-kur5
捱,ngâi,ngai5,k10,捱苦,ngâi-khóu,ngai5-khou2
捲,kuãn,kuan6,k10,席捲,sia̍h-kuãn,siah8-kuan6
捲,kuãn,kuan6,k10,捲煎,kuãn-chien,kuan6-chien1
捶,tûi,tui5,,,,
捷,chia̍p,chiap8,,,,
捻,nia̍p,niap8,,,,
掀,hiauⁿ,hiaunn1,,,,
掀,hṳn,hurn1,,,,
掂,tiam,tiam1,,,,
掃,sàu,sau3,k00,,,
掄,lûn,lun5,,,,
掇,to̍h,toh8,,,,
掇,tshuah,tshuah4,,,,
掇,tshuat,tshuat4,,,,
授,siũ,siu6,,,,
掉,tiāu,tiau7,k00,,,
掌,chiéⁿ,chienn2,k00,,,
掏,thâu,thau5,,,,
掐,khap,khap4,,,,
排,pâi,pai5,k00,,,
掖,e̍k,ek8,,,,
掗,á,a2,,掗折,á-chi̍h,a2-chih8
掘,ku̍t,kut8,,,,
掙,cheng,cheng1,,,,
掛,khuà,khua3,k10,,,
掛,kuà,kua3,,,,
掛,kùe,kue3,,,,
掠,lia̍h,liah8,,,,
採,tshái,tshai2,k00,採納,tshái-na̍p,tshai2-nap8
採,tshái,tshai2,k00,開採,khai-tshái,khai1-tshai2
探,thàm,tham3,k10,,,
掣,chì,chi3,,,,
接,chiap,chiap4,k10,,,
接,chih,chih4,k00,,,
控,khòng,khong3,,,,
推,tho,tho1,,,,
推,thui,thui1,,,,
推,tshui,tshui1,,,,
掩,aⁿ,ann1,,,,
掩,iám,iam2,,,,
措,tshù,tshu3,k10,,,
掰,peh,peh4,,,,
揀,kán,kan2,,,,
揉,jiû,jiu5,,,,
揍,tshòu,tshou3,,,,
描,biê,bie5,,,,
描,miâu,miau5,k10,,,
提,thî,thi5,k00,,,
插,tshah,tshah4,k10,,,
插,tshap,tshap4,,,,
揖,ip,ip4,,,,
揚,iâng,iang5,k10,,,
揚,iêⁿ,ienn5,,,,
換,huàn,huan3,,,,
換,uāⁿ,uann7,k00,,,
握,ok,ok4,,,,
揣,tshúi,tshui2,,,,
揩,kai,kai1,,,,
揩,khoi,khoi1,,,,
揪,chhiu,chhiu1,,,,
揭,kiah,kiah4,k10,,,
揭,kit,kit4,,,,
揮,hui,hui1,,,,
援,iẽn,ien6,,,,
揹,pì,pi3,k10,揹个衫包,pì kâi saⁿ-pau,pi3 kai5 sann1-pau1
揾,ùn,un3,,,,
損,sún,sun2,k10,,,
搏,phak,phak4,k10,,,
搐,thek,thek4,,,,
搓,so,so1,,,,
搓,tsha,tsha1,,,,
搓,tsho,tsho1,,,,
搔,sau,sau1,,,,
搖,iâu,iau5,,,,
搖,iê,ie5,k10,,,
搗,táu,tau2,,,,
搜,siau,siau1,k00,,,
搞,káu,kau2,k00,,,
搧,sièn,sien3,,搧面龐,sièn mīn-phâng,sien3 min7-phang5
搪,thâng,thang5,,,,
搬,puaⁿ,puann1,k10,,,
搭,tah,tah4,k10,,,
搶,chhiéⁿ,chhienn2,k10,,,
搽,tshâ,tsha5,,,,
搿,phóng,phong2,,,,
摒,pín,pin2,,,,
摔,sut,sut4,,,,
摔,tsut,tsut4,,,,
摘,tiah,tiah4,k00,,,
摜,kuàn,kuan3,,,,
摜,kuãⁿ,kuann6,,,,
摟,lóu,lou2,,,,
摧,tshui,tshui1,,,,
摩,mô,mo5,,,,
摩,muâ,mua5,,,,
摯,chì,chi3,,,,
摳,khau,khau1,,,,
摸,mô,mo5,,,,
摸,mông,mong5,,,,
摹,mô,mo5,,,,
摺,chih,chih4,k10,存摺,tshûn-chih,tshun5-chih4
摺,chih,chih4,k10,摺衫褲,chih saⁿ-khòu,chih4 sann1-khou3
摻,tsham,tsham1,,,,
撂,lia̍k,liak8,,,,
撅,khiet,khiet4,,,,
撅,kiah,kiah4,,,,
撇,phuah,phuah4,,,,
撈,lau,lau1,,,,
撈,lâu,lau5,,,,
撈,liâu,liau5,,,,
撈,liê,lie5,,,,
撐,theⁿ,thenn1,,,,
撒,sak,sak4,,,,
撒,suah,suah4,,,,
撓,nâu,nau5,,,,
撕,sṳ,sur1,,,,
撞,tōng,tong7,,撞門,tōng-mn̂g,tong7-mng5
撞,tsuãng,tsuang6,k10,,,
撢,thâm,tham5,,撢灰,thâm hue,tham5 hue1
撣,siẽn,sien6,,撣族,siẽn-tso̍k,sien6-tsok8
撣,tãn,tan6,,,,
撣,thâm,tham5,,撣灰,thâm hue,tham5 hue1
撤,thiet,thiet4,k10,,,
撥,buah,buah4,,,,
撥,phuah,phuah4,k10,,,
撩,liâu,liau5,,,,
撫,bú,bu2,,,,
撬,kiãu,kiau6,,,,
播,puà,pua3,k10,,,
撮,tshoh,tshoh4,,一撮,che̍k-tshoh,chek8-tshoh4
撮,tshuat,tshuat4,,撮要,tshuat-iàu,tshuat4-iau3
撰,tsuãn,tsuan6,,,,
撲,phok,phok4,,,,
撻,thak,thak4,,,,
撼,hám,ham2,,,,
撾,kô,ko5,,,,
撾,tsua,tsua1,,,,
撿,kiám,kiam2,,,,
擁,iòng,iong3,k00,,,
擁,õng,ong6,,,,
擂,lûi,lui5,,,,
擄,lú,lu2,,,,
擅,siẽn,sien6,,,,
擇,to̍h,toh8,k10,,,
擊,khek,khek4,,,,
擋,tàng,tang3,,抵擋,tí-tàng,ti2-tang3
擋,tǹg,tng3,,摒擋,pín-tǹg,pin2-tng3
操,tshau,tshau1,k00,操練,tshau-liēn,tshau1-lien7
操,tshàu,tshau3,,曹操,tshâu tshàu,tshau5 tshau3
擎,khêng,kheng5,,,,
擎,khiâ,khia5,,,,
擒,khîm,khim5,,,,
擔,tan,tan1,k00,擔保,tan-pó,tan1-po2
擔,taⁿ,tann1,,扁擔,pién-taⁿ,pien2-tann1
擔,tàⁿ,tann3,,一擔,che̍k-tàⁿ,chek8-tann3
據,kṳ̃,kur6,k00,根據,kṳn-kṳ̃,kurn1-kur6
擠,chì,chi3,,,,
擠,chìⁿ,chinn3,,,,
擦,tshak,tshak4,k00,,,
擬,ngí,ngi2,,,,
擯,pìn,pin3,,,,
擰,lêng,leng5,,,,
擱,koh,koh4,,,,
擲,sek,sek4,,,,
擲,tãⁿ,tann6,,,,
擴,khuak,khuak4,,,,
擴,khuàng,khuang3,k10,,,
擺,pái,pai2,,擺攤,pái-thuaⁿ,pai2-thuann1
擻,sóu,sou2,,,,
擾,jiáu,jiau2,k10,,,
攀,phan,phan1,,,,
攆,léng,leng2,,,,
攏,lóng,long2,k00,,,
攔,lân,lan5,,,,
攘,jiáng,jiang2,,,,
攙,tshâm,tsham5,,,,
攜,hĩ,hi6,,,,
攝,niap,niap4,,,,
攢,tsàn,tsan3,,,,
攢,tsuàn,tsuan3,,,,
攣,luân,luan5,,,,
攤,thuaⁿ,thuann1,,,,
攪,kiáu,kiau2,,,,
攫,khiak,khiak4,,,,
攬,lám,lam2,k10,,,
支,chiⁿ,chinn1,k00,支持,chiⁿ-thî,chinn1-thi5
支,ki,ki1,k01,,,
攲,khi,khi1,,,,
收,siu,siu1,k00,,,
攸,hiuⁿ,hiunn1,,,,
改,kói,koi2,k00,,,
攻,kong,kong1,k00,,,
放,huàng,huang3,,,,
放,pàng,pang3,k00,,,
政,chèng,cheng3,k10,,,
故,kù,ku3,k10,,,
故,kū,ku7,,,,
效,hāu,hau7,k00,,,
敏,mién,mien2,k10,,,
救,kiù,kiu3,k00,,,
敖,ngâu,ngau5,,,,
敗,pāi,pai7,k00,,,
敘,sũ,su6,,,,
教,kà,ka3,k10,,,
敝,pĩ,pi6,,,,
敞,chhiáng,chhiang2,,,,
敢,káⁿ,kann2,k00,,,
散,suáⁿ,suann2,,,,
散,suàⁿ,suann3,k00,,,
敦,tun,tun1,,,,
敬,kèng,keng3,k10,,,
敲,khà,kha3,,,,
敲,khiau,khiau1,,,,
整,chiáⁿ,chiann2,k00,,,
敵,te̍k,tek8,k10,,,
敷,hu,hu1,,,,
數,siàu,siau3,k00,,,
